title,description,text,category,priority
Large pothole causing accidents,Large pothole causing accidents near Bus Stand needs urgent repair,large pothole causing accidents. large pothole causing accidents near bus stand needs urgent repair,Roads,High
Water leakage,Water leakage near Main Road wasting water,water leakage. water leakage near main road wasting water,Water,Medium
Electric pole blocking road,Electric pole blocking road near Residential Colony - this is about electricity infrastructure not road repair,electric pole blocking road. electric pole blocking road near residential colony - this is about electricity infrastructure not road repair,Electricity,Medium
Electric pole tilted,Electric pole tilted near Market Area needs correction,electric pole tilted. electric pole tilted near market area needs correction,Electricity,Medium
Water light issue,Water supply issue with light pressure near Residential Colony - this is about water not electricity,water light issue. water supply issue with light pressure near residential colony - this is about water not electricity,Water,Low
Road surface cracks,Road surface cracks near Market Area need patching,road surface cracks. road surface cracks near market area need patching,Roads,Medium
Water leakage,Water leakage near Main Road wasting water,water leakage. water leakage near main road wasting water,Water,Medium
Wires tangled,Wires tangled near pole near Near Hospital need organization,wires tangled. wires tangled near pole near near hospital need organization,Electricity,Low
Water pressure fluctuates,Water pressure fluctuates slightly near Market Area,water pressure fluctuates. water pressure fluctuates slightly near market area,Water,Low
Uneven road,Uneven road slowing traffic near Bus Stand needs leveling,uneven road. uneven road slowing traffic near bus stand needs leveling,Roads,Medium
Dirty drinking water,Dirty drinking water supplied near Residential Colony causing health risk,dirty drinking water. dirty drinking water supplied near residential colony causing health risk,Water,High
Frequent power cuts,Frequent power cuts near Sector 7 affecting daily life,frequent power cuts. frequent power cuts near sector 7 affecting daily life,Electricity,Medium
Minor tap leakage,Minor leakage from tap near Sector 7 needs fixing,minor tap lkage. minor lekge from tap ner sectr 7 needs fixng,Water,Low
Sewage entering houses,Sewage water entering houses near Sector 7 causing property damage,sewage entering houses. sewage water entering houses near sector 7 causing property damage,Sanitation,High
Road surface cracks,Road surface cracks near Sector 5 need patching,road surface cracks. road surface cracks near sector 5 need patching,Roads,Medium
Street light not working,Street light not working near Near Hospital - this is about electricity not water supply,street light not working. street light not working near near hospital - this is about electricity not water supply,Electricity,Low
Sewage pipe burst,Sewage pipe burst near Ward 2 - this is about sanitation not water supply,sewage pipe burst. sewage pipe burst near ward to - this is about sanitation not water supply,Sanitation,High
Water meter damaged,Water meter damaged near Market Area needs replacement,water meter damaged. water meter damaged near market area needs replacement,Water,Low
Water leakage,Water leakage near Ward 2 wasting water,water leakage. water leakage near ward to wasting water,Water,Medium
Loose gravel on road,Loose gravel on road near Ward 2 causing skidding,loose gravel on road. loose gravel on road near ward to causing skidding,Roads,Medium
Road flooded blocking traffic,Road flooded near Ward 1 blocking traffic completely,road flooded blocking traffic. road flooded near ward 1 blocking traffic completely,Roads,High
Water pipeline burst,Water pipeline burst near Near Hospital flooding the area,water pipeline burst. water pipeline burst near near hospital flooding the area,Water,High
Road collapsed,Road collapsed near Ward 1 causing danger to vehicles,road collapsed. road collapsed near ward 1 causing danger to vehicles,Roads,High
Bent road sign,Road sign slightly bent near Ward 3 needs straightening,bent road sign. road sign slightly bent near ward 3 needs straightening,Roads,Low
Traffic pole bent,Traffic pole bent near Ward 1 - this is about road infrastructure not electricity,traffic pole bent. traffic pole bent near ward 1 - this is about road infrastructure not electricity,Roads,High
Traffic pole bent,Traffic pole bent near Bus Stand - this is about road infrastructure not electricity,traffic pole bent. traffic pole bent near bus stand - this is about road infrastructure not electricity,Roads,High
